s_min,100.0
s_max,10000
num_s,6
d,3
lamda,1
num_cores,50
num_trials,1
factor,0.5
scaling,log-scale-factor-0.5
T,100.0,200.0,400.0,800.0,1600.0,3200.0
0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0
