s_max,2000
num_s,10
d,2
lamda,1
num_cores,40
num_trials,100
scaling,log-scale-factor-1.0
T,1.0,2.0,250.75,500.5,501.5,750.25,1000.0,1001.0,1500.5,2000.0
0,inf,inf,255.16383625727752,506.5402619717527,507.4761037855965,758.3052598118494,1009.9918692037614,1010.974606988389,1513.674128637615,2015.7385898600721
1,inf,inf,254.519883517219,505.8337991091281,506.8380008040547,758.3529368266022,1009.8070317363403,1010.8050183899728,1513.3761642393856,2015.4975196994305
2,inf,2.41841282252048,254.3762341853877,506.2017947976147,507.2434487325242,757.559007555569,1008.7870751055314,1009.7646966677057,1513.087389378528,2015.4830545652658
3,inf,inf,254.8580609875223,506.8354350336379,507.81935970882716,757.9562709171549,1009.7108374710378,1010.7184844709407,1514.115453073731,2015.822116249656
4,inf,inf,254.41807666545603,506.70551255687593,507.8942948292309,758.1665403253602,1008.7656645854373,1009.7622745739395,1512.8217335032402,2015.0511771753274
5,inf,inf,254.66039274551324,506.40429244323855,507.3068311560744,757.9219531911434,1009.0756320863807,1010.2924422070025,1513.3794335303908,2015.9381142710495
6,inf,inf,255.2342326306109,506.64564490083137,507.6387161980999,758.2999837447331,1009.0490286724719,1010.1195408292278,1512.8029539917904,2014.883617285435
7,inf,inf,256.30056720642864,506.64482237923227,507.62701270598734,757.9446850761434,1009.755766818193,1010.7507153024432,1513.3241943625276,2015.9848558728324
8,inf,2.3321827151105956,255.00551890440232,506.6453458503735,507.6328250041929,757.8977781050761,1009.3081856294357,1010.2964218202953,1513.0128506360509,2015.4464137165162
9,inf,inf,255.41730730736396,506.7154799793406,508.0577655531533,758.5189433044321,1010.1836153687909,1011.2086498308885,1514.2218330356131,2016.209212821327
10,inf,2.8166843103366483,254.5557342768201,506.26091511133956,507.2611443034131,757.9341367966551,1009.1389846440167,1010.1309796637216,1513.646319400017,2015.8889267814445
11,inf,inf,255.0710084466105,506.4024771009154,507.39337843188616,758.0939033558441,1009.625096368545,1010.616472251569,1513.344490310941,2015.2984325297134
12,inf,inf,254.7314020013214,506.7667428505355,507.745472021066,758.1460985932698,1009.3812805101636,1010.375350696174,1513.7274853005056,2016.0561091296615
13,inf,inf,255.44294106604505,506.4829957788468,507.4841088949116,758.2261398796999,1009.4434577035335,1010.4418029346466,1513.2719501228196,2015.4936560488045
14,inf,2.3519688781854877,255.3160745589893,507.11773385097575,508.10062581093206,758.6034858653192,1010.0002425810754,1011.0051476760752,1513.2964995954264,2015.8824371421206
15,inf,2.1316277506124077,254.36244719847815,506.7388123790055,507.73877805737,758.4277751119403,1009.4925922711628,1010.736720236456,1513.7427364343653,2015.6606451240323
16,inf,inf,255.36625783565248,507.1542355010366,508.58364059590696,759.4545913741238,1010.0667783306368,1011.0351185146625,1513.7573932720943,2015.4407529619534
17,inf,inf,254.91628111591862,506.9646300429124,508.44980125122913,758.1258098826138,1009.7601140897431,1010.7426398665692,1513.5568815170557,2015.9601722149555
18,inf,inf,255.54183577209915,506.943113628781,507.94310326661446,759.1378517124799,1010.2638603529292,1011.262196416072,1513.7854099487024,2015.96830534644
19,inf,inf,255.5477959915952,506.44304645857756,507.5002419134886,757.9842026673092,1009.215601950043,1010.2108819169898,1513.2517922349984,2015.9675752147261
20,inf,inf,255.06423487588197,506.90827416102474,507.93449809442325,758.5045802507718,1010.1957595577068,1011.1666948916439,1513.9726116666936,2015.563127784564
21,inf,inf,255.33209992851786,506.90842718681034,507.9474492698308,758.3410178625635,1009.8595568545624,1010.7447972090927,1513.31715412976,2015.8775836578277
22,inf,2.072724837157618,255.07346325928413,507.0750910491767,508.0796217031461,759.0226891008302,1009.9444683633759,1011.0162983864254,1513.508655637878,2015.5569101517735
23,inf,inf,255.45581241670178,507.34074892416163,508.29672153703683,758.9138305039637,1009.6597620247643,1010.6329206579317,1513.4251066352958,2015.3199046338866
24,inf,inf,254.53205248382912,506.6462120532632,507.6505818358714,758.5593985011811,1009.7068622450944,1010.6818294222716,1513.1820236707792,2015.5014568434494
25,inf,inf,255.21346824501177,506.82587403545,507.8214897527485,758.4108923395664,1009.1930224237781,1010.2019830380486,1513.2887047184213,2015.0119438707081
26,inf,inf,254.39844735906286,506.8644197801227,507.7895605764113,759.346618711124,1010.9973515242032,1011.9773372366739,1513.9764346032669,2015.9072259690683
27,inf,inf,255.21768530185952,507.29670670425935,508.38370891673236,758.5383170406075,1009.4373680924018,1010.4181328570538,1513.1806131387714,2015.411600048525
28,inf,inf,255.1404656112662,506.82226402754117,507.8359093184874,758.2695525889643,1009.6165343803542,1010.6120094110307,1512.715399180719,2015.309162852955
29,inf,inf,254.91514035514166,507.07826895193944,508.14802897804316,758.8010509520934,1010.0664163347594,1010.9460537878979,1513.4381368148022,2015.8870659761335
30,inf,inf,254.4401544975613,506.6983683407904,507.60201494371876,758.8616222196504,1009.3762807242512,1010.3545613362334,1513.307003071243,2015.4924306941307
31,inf,inf,254.58124850030376,507.6989410864468,508.71191873072854,758.5859317734227,1009.709642085102,1010.7283223516259,1513.5547567622448,2015.8100528138289
32,inf,2.1870226204305614,255.12100607190806,507.6109575516206,508.59417661223716,758.7753479016746,1009.975497176953,1010.9807356829684,1513.239910616203,2015.2045539774795
33,inf,inf,255.0448032390207,506.8904971848153,507.87979649549965,758.4651384003458,1010.4247032805024,1011.4115636850187,1513.5818243255194,2016.5206024843108
34,inf,inf,254.48197940259456,506.55621272429977,507.52648441348566,757.9939266689172,1009.2343506973499,1010.2308381609142,1513.2153425747044,2015.0500095816083
